產品名稱,媒體別名稱,,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,"實際發稿量
(2022.01-11)"
Colt Plus,無線電視,,0,0,0,0,0,569500,0,0,0,0,0,,569500
,有線電視,,0,0,0,0,14000,614500,0,0,0,0,0,,628500
,報紙,,0,0,0,0,0,0,0,0,0,0,0,,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,,0
,廣播,,0,0,0,0,0,0,0,0,0,0,0,,0
,戶外,,0,0,0,0,0,0,0,0,0,0,0,,0
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,,0
,,展示型廣告,0,0,0,0,0,0,0,0,0,0,0,,0
,,口碑/內容操作,298000,391400,568600,329800,84000,62200,787600,88200,246200,318400,327200,,3501600
,,影音廣告,0,0,0,275000,0,0,0,0,0,0,0,,275000
,Total,,298000,391400,568600,604800,98000,1246200,787600,88200,246200,318400,327200,0,4974600
Lancer,無線電視,,0,0,0,0,0,0,0,0,0,0,0,,0
,有線電視,,0,0,0,0,0,0,0,0,0,0,0,,0
,報紙,,0,0,0,0,0,0,0,0,0,0,0,,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,,0
,廣播,,0,0,0,0,0,0,0,0,0,0,0,,0
,戶外,,0,0,0,0,0,0,0,0,0,0,0,,0
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,,0
,,展示型廣告,0,0,0,0,0,0,0,0,0,0,0,,0
,,口碑/內容操作,17800,31000,12200,12000,14000,6000,407000,9200,408800,503200,6400,,1427600
,,影音廣告,0,0,0,0,0,0,0,0,0,0,0,,0
,Total,,17800,31000,12200,12000,14000,6000,407000,9200,408800,503200,6400,0,1427600
Outlander,無線電視,,0,190000,200000,225000,0,0,0,0,0,240000,220000,,1075000
,有線電視,,0,1227200,960200,1635950,1788400,1201000,0,0,0,3400000,1583000,,11795750
,報紙,,0,0,0,0,0,0,0,0,0,0,0,,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,,0
,廣播,,0,0,0,0,0,0,0,0,0,0,0,,0
,戶外,,0,0,0,0,0,0,0,0,0,400000,0,,400000
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,,0
,,展示型廣告,550000,700000,200000,450000,300000,110000,0,0,0,416293,250000,,2976293
,,口碑/內容操作,1285520,1549000,216584,785200,561000,595400,104400,280000,690094,330000,730600,,7127798
,,影音廣告,0,700000,0,0,200000,0,0,0,0,1100000,420000,,2420000
,Total,,1835520,4366200,1576784,3096150,2849400,1906400,104400,280000,690094,5886293,3203600,0,25794841
Eclipse,無線電視,,0,0,0,140000,0,0,0,0,180000,90000,0,,410000
,有線電視,,0,0,0,1674000,0,0,0,0,1611200,1741700,0,,5026900
,報紙,,0,0,0,0,0,0,0,0,0,0,0,,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,,0
,廣播,,0,0,0,0,0,0,0,0,0,0,0,,0
,戶外,,0,0,0,0,0,0,0,0,0,0,0,,0
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,,0
,,展示型廣告,220000,606871,200000,100000,150000,0,0,210000,100000,231090,400000,,2217961
,,口碑/內容操作,727200,477800,821400,873400,540000,510000,674200,260400,135000,348800,304693,,5672893
,,影音廣告,0,0,0,600000,520000,0,0,360000,200000,658000,900000,,3238000
,Total,,947200,1084671,1021400,3387400,1210000,510000,674200,830400,2226200,3069590,1604693,0,16565754
Zinger,無線電視,,0,0,0,0,0,0,100000,250000,300000,0,0,,650000
,有線電視,,0,0,0,0,0,0,1419500,4267750,3462000,0,0,,9149250
,報紙,,0,0,0,0,0,0,0,0,0,0,0,,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,,0
,廣播,,0,0,0,0,0,0,0,293475,0,0,0,,293475
,戶外,,0,0,0,0,0,0,0,0,0,0,0,,0
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,,0
,,展示型廣告,100000,200000,566869,55000,200000,0,0,500000,350000,100000,150000,,2221869
,,口碑/內容操作,1123400,352000,1768398,770400,582263,1009800,566800,711400,427400,270200,512000,,8094061
,,影音廣告,500000,0,0,0,220000,0,0,1000000,700000,0,0,,2420000
,Total,,1723400,552000,2335267,825400,1002263,1009800,2086300,7022625,5239400,370200,662000,0,22828655
商車,無線電視,,1420000,620000,760000,0,0,0,520000,0,0,2260000,875000,,6455000
,有線電視,,6651400,3587400,2900800,0,0,0,2490200,0,0,7124700,1370000,,24124500
,報紙,,0,0,0,0,0,0,0,0,0,0,0,,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,,0
,廣播,,0,607500,0,408050,0,0,0,0,501684,1056098,349734,,2923066
,戶外,,0,0,0,0,0,0,0,0,0,0,0,,0
,數位,關鍵字廣告,0,0,0,0,0,0,0,0,0,0,0,,0
,,展示型廣告,100000,668259,0,200000,500000,270000,180000,240000,220000,659942,1120000,,4158201
,,口碑/內容操作,76200,2900400,2257000,840400,1850680,702800,1036800,102200,110000,922200,705600,,11504280
,,影音廣告,3525868,1440000,1550000,550000,200000,0,0,860000,0,763479,1070000,,9959347
,Total,,11773468,9823559,7467800,1998450,2550680,972800,4227000,1202200,831684,12786419,5490334,0,59124394
全車系,無線電視,,285000,0,0,0,0,0,615000,290000,0,0,240000,,1430000
,有線電視,,1814400,0,0,0,0,0,4439450,2878800,0,0,3375650,,12508300
,報紙,,0,0,0,0,0,0,0,0,0,0,0,,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,,0
,廣播,,0,0,0,0,0,0,0,0,0,0,0,,0
,戶外,,0,0,0,0,0,0,0,0,0,0,0,,0
,數位,關鍵字廣告,1983825,1361755,1537245,1569298,1518105,1620000,1615546,1614918,1584882,1600000,1598131,,17603705
,,展示型廣告,150000,0,0,150000,0,100000,380000,180000,150000,0,125000,,1235000
,,口碑/內容操作,1296036,281640,615200,1000600,824842,1955050,367998,390968,140853,862835,359298,,8095320
,,影音廣告,0,0,0,300000,0,0,1120000,600000,540000,0,510000,,3070000
,Total,,5529261,1643395,2152445,3019898,2342947,3675050,8537994,5954686,2415735,2462835,6208079,0,43942325
總計,無線電視,,1705000,810000,960000,365000,0,569500,1235000,540000,480000,2590000,1335000,0,10589500
,有線電視,,8465800,4814600,3861000,3309950,1802400,1815500,8349150,7146550,5073200,12266400,6328650,0,63233200
,報紙,,0,0,0,0,0,0,0,0,0,0,0,0,0
,雜誌,,0,0,0,0,0,0,0,0,0,0,0,0,0
,廣播,,0,607500,0,408050,0,0,0,293475,501684,1056098,349734,0,3216541
,戶外,,0,0,0,0,0,0,0,0,0,400000,0,0,400000
,數位,關鍵字廣告,1983825,1361755,1537245,1569298,1518105,1620000,1615546,1614918,1584882,1600000,1598131,0,17603705
,,展示型廣告,1120000,2175130,966869,955000,1150000,480000,560000,1130000,820000,1407325,2045000,0,12809324
,,口碑/內容操作,4824156,5983240,6259382,4611800,4456785,4841250,3944798,1842368,2158347,3555635,2945791,0,45423552
,,影音廣告,4025868,2140000,1550000,1725000,1140000,0,1120000,2820000,1440000,2521479,2900000,0,21382347
,Total,,22124649,17892225,15134496,12944098,10067290,9326250,16824494,15387311,12058113,25396937,17502306,0,174658169
傳統,,,10170800,6232100,4821000,4083000,1802400,2385000,9584150,7980025,6054884,16312498,8013384,0,77439241
數位,,,11953849,11660125,10313496,8861098,8264890,6941250,7240344,7407286,6003229,9084439,9488922,0,97218928
(商用車)傳統,,,8071400,4814900,3660800,408050,0,0,3010200,0,501684,10440798,2594734,0,33502566
(商用車)數位,,,3702068,5008659,3807000,1590400,2550680,972800,1216800,1202200,330000,2345621,2895600,0,25621828
"(乘用車, 含AS)傳統",,,2099400,1417200,1160200,3674950,1802400,2385000,6573950,7980025,5553200,5871700,5418650,0,43936675
"(乘用車, 含AS)數位",,,8251781,6651466,6506496,7270698,5714210,5968450,6023544,6205086,5673229,6738818,6593322,0,71597100
"(乘用車, 不含AS)傳統",,,2099400,1417200,1160200,3674950,1802400,2385000,5054450,3168800,1791200,5871700,5418650,0,33843950
"(乘用車, 不含AS)數位",,,6528381,6099466,4171229,6445298,4711947,4958650,5456744,3993686,4195829,6368618,5931322,0,58861170
"(乘用車, 不含AS)數位(不含影音)",,,6528381,5399466,4171229,5570298,3991947,4958650,5456744,3633686,3995829,4610618,4611322,0,52928170
